Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
2715,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2716,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2717,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2718,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
2719,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2720,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2721,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2722,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2723,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2724,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,1.56
2725,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,0.56
2726,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2727,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2728,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,1.56
2729,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,2.56
2730,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,3.56
2731,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,2.56
2732,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,1.56
2733,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,2.56
2734,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,1.56
2735,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,2.56
2736,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,1.56
2737,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,0.56
2738,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2739,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2740,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2741,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2742,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2743,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2744,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,1.56
2745,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,0.56
2746,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,1.56
2747,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,0.56
2748,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2749,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2750,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
2751,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2752,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2753,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2754,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2755,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2756,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2757,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2758,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2759,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2760,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2761,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2762,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2763,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,0.56
2764,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,1.56
2765,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,0.56
2766,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-0.44
2767,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2768,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
2769,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2770,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2771,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2772,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2773,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2774,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
2775,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2776,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-4.44
3243,SYNC,2.191,OV,1.00,UN,False,-1.00,-5.44
3244,SYNC,2.191,OV,1.00,UN,False,-1.00,-6.44
3245,SYNC,2.191,OV,1.00,OV,True,1.00,-5.44
3246,SYNC,2.191,OV,1.00,OV,True,1.00,-4.44
3247,SYNC,2.191,OV,1.00,OV,True,1.00,-3.44
3248,SYNC,2.191,OV,1.00,OV,True,1.00,-2.44
3249,SYNC,2.191,OV,1.00,UN,False,-1.00,-3.44
3250,SYNC,2.191,OV,1.00,OV,True,1.00,-2.44
3251,SYNC,2.191,OV,1.00,UN,False,-1.00,-3.44
3252,SYNC,2.191,OV,1.00,OV,True,1.00,-2.44
3253,SYNC,2.191,OV,1.00,UN,False,-1.00,-3.44
3254,SYNC,2.191,OV,1.00,UN,False,-1.00,-4.44
3255,SYNC,2.191,OV,1.00,UN,False,-1.00,-5.44
3256,SYNC,2.191,OV,1.00,OV,True,1.00,-4.44
3257,SYNC,2.191,OV,1.00,OV,True,1.00,-3.44
3258,SYNC,2.191,OV,1.00,OV,True,1.00,-2.44
3259,SYNC,2.191,OV,1.00,UN,False,-1.00,-3.44
3260,SYNC,2.191,OV,1.00,OV,True,1.00,-2.44
3261,SYNC,2.191,OV,1.00,UN,False,-1.00,-3.44
3262,SYNC,2.191,OV,1.00,UN,False,-1.00,-4.44
3263,SYNC,2.191,OV,1.00,UN,False,-1.00,-5.44
3264,SYNC,2.191,OV,1.00,UN,False,-1.00,-6.44
3265,SYNC,2.191,OV,1.00,UN,False,-1.00,-7.44
3266,SYNC,2.191,OV,1.00,OV,True,1.00,-6.44
3267,SYNC,2.191,OV,1.00,OV,True,1.00,-5.44
3268,SYNC,2.191,OV,1.00,OV,True,1.00,-4.44
3269,SYNC,2.191,OV,1.00,UN,False,-1.00,-5.44
3270,SYNC,2.191,OV,1.00,OV,True,1.00,-4.44
3271,SYNC,2.191,OV,1.00,UN,False,-1.00,-5.44
3272,SYNC,2.191,OV,1.00,UN,False,-1.00,-6.44
3273,SYNC,2.191,OV,1.00,UN,False,-1.00,-7.44
3274,SYNC,2.191,OV,1.00,OV,True,1.00,-6.44
3275,SYNC,2.191,OV,1.00,UN,False,-1.00,-7.44
3276,SYNC,2.191,OV,1.00,UN,False,-1.00,-8.44
3277,SYNC,2.191,OV,1.00,UN,False,-1.00,-9.44
